FECHA;OPEN;MAX;MIN;CLOSE
22/7/2024 00:00;10.14;10.2;10.13;10.14
23/7/2024 00:00;10.15;10.24;10.19;10.14
24/7/2024 00:00;10.21;10.42;10.37;10.19
25/7/2024 00:00;10.47;12;10.65;10.41
26/7/2024 00:00;10.73;11.3;11.05;10.66
27/7/2024 00:00;11.12;11.5;11.45;11.06
28/7/2024 00:00;11.13;11.24;11.17;11.4
29/7/2024 00:00;11.2;11.3;11.12;11.14
30/7/2024 00:00;11.2;11.98;11.73;11.19
31/7/2024 00:00;11.9;13.49;12.94;11.82
1/8/2024 00:00;13.53;13.46;13.22;13.26
2/8/2024 00:00;13.26;13.28;12.95;13.21
3/8/2024 00:00;13.06;13.13;13.02;12.87
4/8/2024 00:00;13.03;13.02;12.95;12.97
5/8/2024 00:00;13;13;12.79;12.97
6/8/2024 00:00;13.17;12.8;11.49;12.97
7/8/2024 00:00;12.53;12.59;12.2;12.52
8/8/2024 00:00;12.19;11.52;10.57;12.19
9/8/2024 00:00;10.51;11.05;10.71;10.41
10/8/2024 00:00;10.86;10.83;10.73;10.75
11/8/2024 00:00;10.78;10.88;10.84;10.76
12/8/2024 00:00;10.89;10.88;10.81;10.87
13/8/2024 00:00;10.85;10.89;10.83;10.85
14/8/2024 00:00;10.84;10.88;10.86;10.81
15/8/2024 00:00;10.86;10.92;10.89;10.85
16/8/2024 00:00;10.92;11.51;10.92;10.9
17/8/2024 00:00;11.29;11.11;10.98;11
18/8/2024 00:00;10.95;11.06;10.95;10.93
19/8/2024 00:00;10.97;11;10.96;10.95
20/8/2024 00:00;10.95;11;10.99;10.94
21/8/2024 00:00;10.98;10.99;10.96;10.98
22/8/2024 00:00;10.96;10.95;10.72;10.95
23/8/2024 00:00;10.81;10.8;10.76;10.8
24/8/2024 00:00;10.75;10.71;10.66;10.73
25/8/2024 00:00;10.7;10.77;10.67;10.69
26/8/2024 00:00;10.75;10.73;10.7;10.7
27/8/2024 00:00;10.7;10.88;10.77;10.68
28/8/2024 00:00;10.77;10.82;10.78;10.72
29/8/2024 00:00;10.8;10.87;10.84;10.78
30/8/2024 00:00;10.82;10.81;10.79;10.8
31/8/2024 00:00;10.78;10.72;10.7;10.75
1/9/2024 00:00;10.71;10.69;10.67;10.66
2/9/2024 00:00;10.66;10.7;10.68;10.64
3/9/2024 00:00;10.69;10.72;10.68;10.67
4/9/2024 00:00;10.69;10.7;10.67;10.67
5/9/2024 00:00;10.67;10.49;10.21;10.66
6/9/2024 00:00;10.46;10.44;10.41;10.33
7/9/2024 00:00;10.37;10.04;10.01;10.35
8/9/2024 00:00;10.03;10.42;10.17;10.02
